map
10,10,0,240,3,17,10
Hatchet,Bronze hatchet,true,3
1
CHEST:Armour,Leather tunic,false,CHEST
3
Weapon,Bronze sword,false,4
Item,Oak logs,true
Item,Steel & flint,true
24
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
Killed a Goblin
